"","surfacearea_ha","shoreline_development","depth_max_m","nonFP_species_richness","TOTP_avg","PH_avg","COND_avg","ALK_avg","secchi_avg","waterbodies_1km","waterbodies_5km","waterbodies_10km","nearest_LM","nearest_SP","nearest_W","nearest_any_FP","boatlaunch","dist_waterfowl"
"surfacearea_ha",NA,2.57571741713036e-14,0,0,2.30874269733228e-05,0.792490339149612,0.000567463885976727,0.000415083033812103,1.06510356090439e-11,0.417176658034735,0.0462896433404456,0.139802695348293,0.00372053231963898,0.112158509934553,0.0170742857583654,7.18400795638452e-05,3.28315152842151e-12,0.0901446158574832
"shoreline_development",2.57571741713036e-14,NA,0.000198788048494603,6.86211767408906e-08,0.00378920190221299,0.751297687832183,0.178505308759058,0.0293447753394149,0.0533141503927896,0.441308273222599,0.00509518146220911,0.00501390504165022,0.755270872527893,0.18030692790715,0.0117470696427084,0.294454693853576,0.000948500042963207,0.752409600472493
"depth_max_m",0,0.000198788048494603,NA,1.78455228372343e-09,2.27623132991184e-05,0.835128866009093,0.00079705598231028,0.00482505500336772,0,0.235946652571754,0.430661565765573,0.326207903138439,0.111046569057059,0.954979730245188,0.0118412938990822,0.00202916997126645,4.75154582346704e-10,0.668102465773697
"nonFP_species_richness",0,6.86211767408906e-08,1.78455228372343e-09,NA,1.08175440161062e-07,0.0889443241709933,1.07992564037929e-05,0.000152536020661564,5.22781817835494e-12,0.192561857861287,0.18624335475679,0.715947582466873,1.82418916070404e-05,0.0238618497519156,0.000636042055964348,9.34141867459104e-06,4.13241680874421e-08,0.244245388377291
"TOTP_avg",2.30874269733228e-05,0.00378920190221299,2.27623132991184e-05,1.08175440161062e-07,NA,0.102174377513154,1.53498687138764e-06,7.12924159707029e-08,8.83051054501038e-09,0.763021385424214,0.900786702874166,0.41588984041876,0.0864923786255882,0.842618246896401,0.00340150338054634,1.52979493752703e-05,0.0134754498760314,0.657134044987925
"PH_avg",0.792490339149612,0.751297687832183,0.835128866009093,0.0889443241709933,0.102174377513154,NA,6.40687503050685e-12,0,0.104804662084836,0.168532063954737,0.574913122553983,0.270274276259112,0.0456459340309303,0.691985231731823,0.316871946317105,0.0414292082594918,0.0406956190737717,0.81331286948918
"COND_avg",0.000567463885976727,0.178505308759058,0.00079705598231028,1.07992564037929e-05,1.53498687138764e-06,6.40687503050685e-12,NA,0,8.37793132202336e-06,0.177377015422918,0.452278437883102,0.26491964292642,3.84940239017695e-07,0.00571152628336802,0.159394704243631,1.02020984993345e-08,4.28233848925874e-05,0.0304627963459803
"ALK_avg",0.000415083033812103,0.0293447753394149,0.00482505500336772,0.000152536020661564,7.12924159707029e-08,0,0,NA,0.000387215174864952,0.142115745739022,0.654830495521068,0.631082115460282,0.00131462774725444,0.275406511199479,0.193935292770885,0.000131736742331023,0.000110004785355056,0.0755264788060412
"secchi_avg",1.06510356090439e-11,0.0533141503927896,0,5.22781817835494e-12,8.83051054501038e-09,0.104804662084836,8.37793132202336e-06,0.000387215174864952,NA,0.526478169833039,0.598358958462896,0.950382830036108,0.00337689389401463,0.149995829036254,0.0510872843769474,0.000138355714639937,2.2811279349888e-06,0.367786873303303
"waterbodies_1km",0.417176658034735,0.441308273222599,0.235946652571754,0.192561857861287,0.763021385424214,0.168532063954737,0.177377015422918,0.142115745739022,0.526478169833039,NA,1.98786085592317e-06,0.0157379926300052,0.0411001634586783,0.684960178375234,0.917279684030595,0.0122761310681865,0.580923284914749,0.0980244112496038
"waterbodies_5km",0.0462896433404456,0.00509518146220911,0.430661565765573,0.18624335475679,0.900786702874166,0.574913122553983,0.452278437883102,0.654830495521068,0.598358958462896,1.98786085592317e-06,NA,0,0.310909788099091,0.980963372336918,0.426872803678881,0.233395678645151,0.413995912426032,0.823137934924465
"waterbodies_10km",0.139802695348293,0.00501390504165022,0.326207903138439,0.715947582466873,0.41588984041876,0.270274276259112,0.26491964292642,0.631082115460282,0.950382830036108,0.0157379926300052,0,NA,0.415736640969552,0.96516266509482,0.751034660007718,0.329158303786366,0.723251469386891,0.982755756616599
"nearest_LM",0.00372053231963898,0.755270872527893,0.111046569057059,1.82418916070404e-05,0.0864923786255882,0.0456459340309303,3.84940239017695e-07,0.00131462774725444,0.00337689389401463,0.0411001634586783,0.310909788099091,0.415736640969552,NA,2.25584728674733e-09,0.0331331870454621,0,0.0164869236302176,0.0906909156089131
"nearest_SP",0.112158509934553,0.18030692790715,0.954979730245188,0.0238618497519156,0.842618246896401,0.691985231731823,0.00571152628336802,0.275406511199479,0.149995829036254,0.684960178375234,0.980963372336918,0.96516266509482,2.25584728674733e-09,NA,0.110528497177655,2.48402765024025e-09,0.00498799804703154,0.555994837955222
"nearest_W",0.0170742857583654,0.0117470696427084,0.0118412938990822,0.000636042055964348,0.00340150338054634,0.316871946317105,0.159394704243631,0.193935292770885,0.0510872843769474,0.917279684030595,0.426872803678881,0.751034660007718,0.0331331870454621,0.110528497177655,NA,0.00068765009209959,0.470317409314374,0.98498069474768
"nearest_any_FP",7.18400795638452e-05,0.294454693853576,0.00202916997126645,9.34141867459104e-06,1.52979493752703e-05,0.0414292082594918,1.02020984993345e-08,0.000131736742331023,0.000138355714639937,0.0122761310681865,0.233395678645151,0.329158303786366,0,2.48402765024025e-09,0.00068765009209959,NA,0.00381867850232931,0.0360775903605319
"boatlaunch",3.28315152842151e-12,0.000948500042963207,4.75154582346704e-10,4.13241680874421e-08,0.0134754498760314,0.0406956190737717,4.28233848925874e-05,0.000110004785355056,2.2811279349888e-06,0.580923284914749,0.413995912426032,0.723251469386891,0.0164869236302176,0.00498799804703154,0.470317409314374,0.00381867850232931,NA,0.6145486301479
"dist_waterfowl",0.0901446158574832,0.752409600472493,0.668102465773697,0.244245388377291,0.657134044987925,0.81331286948918,0.0304627963459803,0.0755264788060412,0.367786873303303,0.0980244112496038,0.823137934924465,0.982755756616599,0.0906909156089131,0.555994837955222,0.98498069474768,0.0360775903605319,0.6145486301479,NA
