Group,Species,Frequency,Label,FP?
Not strictly aquatic,Phragmites australis,17,,notFP
Aquatic,Potamogeton pusillus,15,,notFP
Not strictly aquatic,Phalaris arundinacea,14,,notFP
Aquatic,Callitriche platycarpa,14,,notFP
Aquatic,Ceratophyllum demersum,14,,notFP
Aquatic,Elodea canadensis Michaux,14,,notFP
Aquatic,Myriophyllum spicatum,13,,notFP
Aquatic,Myriophyllum verticillatum,13,,notFP
Not strictly aquatic,Carex elata,10,,notFP
Not strictly aquatic,Polygonum hydropiper,10,,notFP
Aquatic,Sparganium emersum,10,,notFP
Aquatic,Nuphar lutea,9,,notFP
Aquatic,Potamogeton natans,9,,notFP
Not strictly aquatic,Carex acutiformis,8,,notFP
Not strictly aquatic,Myosotis scorpio?des,7,,notFP
Not strictly aquatic,Nasturtium officinale,7,,notFP
Not strictly aquatic,Rorippa amphibia,7,,notFP
Aquatic,Berula erecta,7,,notFP
Aquatic,Hottonia palustris,7,,notFP
Not strictly aquatic,Alisma plantago-aquatica,6,,notFP
Not strictly aquatic,Alopecurus aequaliz,6,,notFP
Not strictly aquatic,Calystegia sepium,6,,notFP
Not strictly aquatic,Eleocharis acicularis,6,,notFP
Not strictly aquatic,Iris pseudacorus,6,,notFP
Not strictly aquatic,Scirpus lacustris,6,,notFP
Aquatic,Lemna minor,6,*,FP
Aquatic,Potamogeton lucens,6,,notFP
Aquatic,Ranunculus circinatus,6,,notFP
Aquatic,Ranunculus trichophyllus,6,,notFP
Not strictly aquatic,Cladium mariscus,5,,notFP
Not strictly aquatic,Juncus articulatus,5,,notFP
Not strictly aquatic,Lythrum salicaria,5,,notFP
Not strictly aquatic,Mentha aquatica,5,,notFP
Aquatic,Chara vulgaris,5,,notFP
Aquatic,Groenlandia densa,5,,notFP
Aquatic,Hippuris vulgaris,5,,notFP
Aquatic,Najas marina,5,,notFP
Aquatic,Nymphea alba,5,,notFP
Aquatic,Potamogeton pectinatus,5,,notFP
Not strictly aquatic,Carex pseudocyperus,4,,notFP
Not strictly aquatic,Eleocharis palustris,4,,notFP
Aquatic,Glyceria fluitans,4,,notFP
Aquatic,Lemna trisulca,4,*,FP
Aquatic,Potamogeton compressus,4,,notFP
Aquatic,Potamogeton trichoides,4,,notFP
Aquatic,Utricularia vulgaris,4,,notFP
Not strictly aquatic,Bidens tripartita,3,,notFP
Not strictly aquatic,Galium palustre,3,,notFP
Not strictly aquatic,Lysimachia vulgaris,3,,notFP
Not strictly aquatic,Veronica beccabunga,3,,notFP
Aquatic,Nitella confervacea,3,,notFP
Aquatic,Potamogeton crispus,3,,notFP
Not strictly aquatic,Alnus glutinosa,2,,notFP
Not strictly aquatic,Juncus subnodulosus,2,,notFP
Not strictly aquatic,Lysimachia nummularia,2,,notFP
Not strictly aquatic,Scrophularia auriculata,2,,notFP
Not strictly aquatic,Scutellaria galericulata,2,,notFP
Not strictly aquatic,Sparganium erectum,2,,notFP
Not strictly aquatic,Thelypteris palustris,2,,notFP
Not strictly aquatic,Typha latifolia,2,,notFP
Not strictly aquatic,Urtica dioica,2,,notFP
Aquatic,Fontinalis antipyretica,2,,notFP
Aquatic,Hydrocharis morsus-ranae,2,,notFP
Aquatic,Luronium natans,2,,notFP
Aquatic,Menyanthes trifoliata,2,,notFP
Aquatic,Potamogeton coloratus,2,,notFP
Aquatic,Potamogeton nodosus,2,,notFP
Aquatic,Riccia fluitans,2,,notFP
Aquatic,Utricularia minor,2,,notFP
Not strictly aquatic,Epilobium sp.,1,,notFP
Not strictly aquatic,Frangula alnus,1,,notFP
Not strictly aquatic,Humulus lupulus,1,,notFP
Not strictly aquatic,Juncus effusus,1,,notFP
Not strictly aquatic,Lycopus europaeus,1,,notFP
Not strictly aquatic,Ranunculus lingua,1,,notFP
Not strictly aquatic,Rubus fructicosus,1,,notFP
Not strictly aquatic,Salix cinerea,1,,notFP
Not strictly aquatic,Senecio aquaticus,1,,notFP
Not strictly aquatic,Solanum dulcamara,1,,notFP
Aquatic,Chara major,1,,notFP
Aquatic,Potamogeton friesii,1,,notFP
Aquatic,Potamogeton perfoliatus,1,,notFP
Aquatic,Sagittaria sagittifolia,1,,notFP
